game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
2022020,Hidden Desert War Top-Down 3D,Hidden Desert War Top-Down 3D,5,570,19,0.684
503060,The Agency of Anomalies: Mystic Hospital Collector's Edition,The Agency of Anomalies: Mystic Hospital Collector's Edition,4,717,16,1.0
1275970,Digital Dungeon Tiles,Digital Dungeon Tiles,6,270,9,0.33299999999999996
847490,Star Speeder,Star Speeder,173,144,4,1.0
1101580,Spooky Starlets: Movie Monsters,NULL,NULL,NULL,NULL,NULL
201010,Geneforge 5: Overthrow,NULL,NULL,NULL,NULL,NULL
837610,Mary Skelter: Nightmares,Mary Skelter: Nightmares,195000,11,493,0.872
1029870,Unsung Heroes: The Golden Mask,Unsung Heroes: The Golden Mask,19,2,75,0.773
205690,1000 Amps,1000 Amps,86,25,325,0.785
632240,Gunball,Gunball,920,100,2,1.0
898910,DASH: Danger Action Speed Heroes,DASH: Danger Action Speed Heroes,6,564,15,1.0
1042930,Trackmaster,Trackmaster,14,840,28,0.607
109500,Fowl Space,Fowl Space,40,13,180,0.589
539290,Brick Breaker,Brick Breaker,17,2,90,0.433
1603600,Daldos,Daldos,1,120,4,0.75
489100,MachRace,MachRace,1,660,9,0.889
1310620,The Sight in a mirror,The Sight in a mirror,48,30,1,1.0
740450,Alien Planet,Alien Planet Explorer,1,480,16,0.625
1646090,Tokyo Rogue,Tokyo Rogue,3,420,14,1.0
448670,Pinball HD Collection,Pinball HD Collection,51,5,90,0.633
542740,Balloon Blowout,Balloon Blowout,9,7,131,0.435
612120,Darwin's bots: Episode 1,NULL,NULL,NULL,NULL,NULL
1380060,Urban Trial Tricky™ Deluxe Edition,NULL,NULL,NULL,NULL,NULL
814560,Eat my Shuriken and Die!,Eat my Shuriken and Die!,72,30,1,1.0
1407060,Crimson Ranch,Crimson Ranch,1,780,26,0.8079999999999999
1495860,What The Dub?!,What The Dub?!,40,7,244,0.934
1126970,Strazeal,Strazeal,96,60,2,1.0
1639530,Bitten! Someone has to be a villain,NULL,NULL,NULL,NULL,NULL
1995420,Flora and Sauna,Flora and Sauna,4,420,14,0.857
358000,The Curse of Nordic Cove,The Curse of Nordic Cove,1,1,30,0.5
1856080,Ambushed,Ambushed,1,240,8,0.75
239430,Q.U.B.E: Director's Cut,Q.U.B.E: Director's Cut,1200000,169000,1776,0.8320000000000001
961490,Travis Strikes Again: No More Heroes Complete Edition,Travis Strikes Again: No More Heroes Complete Edition,399000,14,399,0.845
363500,Ossuary,Ossuary,11,1,38,0.9209999999999999
286750,Zoo Empire,Zoo Empire,19,5,137,0.737
388080,Borderless Gaming,Borderless Gaming,396000,142000,2990,0.884
1565630,Doge to the Moon,DOGE TO THE MOON,854,840,28,0.7859999999999999
925360,Ape Hit,Ape Hit,1,190,6,0.833
482300,Investigator,Investigator,80,36,965,0.6970000000000001
16130,Fish Tycoon,NULL,NULL,NULL,NULL,NULL
1716950,Gra&Vity,NULL,NULL,NULL,NULL,NULL
411530,Roads of Rome 3,Roads of Rome 3,4,1,37,0.757
237430,Expeditions: Conquistador,Expeditions: Conquistador,2300000,176000,1407,0.7959999999999999
485120,Frog Climbers,Frog Climbers,38,8,172,0.831
1907570,Hot Milf 4,Hot Milf 4,366,630,21,0.81
528670,Elems,Elems,869,1,28,0.607
417540,Gamefuel Driver Control,Gamefuel Driver Control,18,792,14,0.5710000000000001
1496530,Cinders Of Hades,Cinders Of Hades,810,90,3,0.33299999999999996
465070,TRIZEAL Remix,TRIZEAL Remix,11,1,25,0.92
448010,RePete,Repetendium,14,4,149,0.9129999999999999
1162170,Below Sunshade,Below Sunshade,14,2,71,0.648
1941850,Goddess Of War Essa,Goddess Of War Essa,345,120,4,0.5
1212930,Doler,Sokpop S03: Doler,422,210,7,0.857
1580990,Manipulator I:The Hand Behind,Manipulator I:The Hand Behind,0,0,0,0.0
1975670,White Lavender,White Lavender,13,3,119,0.924
1808480,Poly Puzzle: Cats,Poly Puzzle: Cats,293,240,8,0.375
818070,Draoi,Draoi,360,30,1,0.0
1271190,Queen's Glory,Queen's Glory,148000,18,628,0.71
944590,Thunder Kid,Thunder Kid,5,1,34,0.912
1299400,Understand,Understand,44,15,517,0.927
958090,School of the Dead: Anastasia,School of the Dead: Anastasia,4,1,36,0.778
607040,Grimoire Chronicles,Grimoire Chronicles,12,7,74,0.784
299380,Masquerade: The Baubles of Doom,Masquerade: The Baubles of Doom,7,694,62,0.258
1626950,The Case of Maneki,The Case of Maneki,720,120,4,1.0
342260,Nevermind,Nevermind,399000,28,419,0.778
1684920,Dungless 2,Dungless 2,230,330,11,0.727
888010,Tango: The Adventure Game,Tango: The Adventure Game,10,1,64,0.8440000000000001
293520,Carnivores: Dinosaur Hunter Reborn,Carnivores: Dinosaur Hunter Reborn,363000,33,784,0.732
502940,"Calm Down, Stalin","Calm Down, Stalin",158000,55,993,0.902
1395560,Kandidatos,Kandidatos,58,98,3272,0.907
291690,Empathy: Path of Whispers,Empathy: Path of Whispers,84,6,188,0.622
1246200,Super Toxicboy,Super Toxicboy,24,30,1,1.0
1581010,Haunted House - The Murder,Haunted House - The Murder,108,90,3,0.0
